2026-03-17 22:45:54,962 | INFO | scraper | Starting scraping process.
2026-03-17 22:45:54,963 | INFO | scraper | Starting scraping process.
2026-03-17 22:45:54,964 | INFO | scraper | Requesting page 1: attempt 1
2026-03-17 22:45:54,964 | INFO | scraper | Requesting page 1: attempt 1
2026-03-17 22:45:56,010 | INFO | scraper | Page 1 scraped successfully with 20 books.
2026-03-17 22:45:56,015 | INFO | scraper | Requesting page 2: attempt 1
2026-03-17 22:45:56,032 | INFO | scraper | Page 1 scraped successfully with 20 books.
2026-03-17 22:45:56,033 | INFO | scraper | Requesting page 2: attempt 1
2026-03-17 22:45:56,866 | INFO | scraper | Page 2 scraped successfully with 20 books.
2026-03-17 22:45:56,868 | INFO | scraper | Requesting page 3: attempt 1
2026-03-17 22:45:57,000 | INFO | scraper | Page 2 scraped successfully with 20 books.
2026-03-17 22:45:57,002 | INFO | scraper | Requesting page 3: attempt 1
2026-03-17 22:45:57,795 | INFO | scraper | Page 3 scraped successfully with 20 books.
2026-03-17 22:45:57,797 | INFO | scraper | Requesting page 4: attempt 1
2026-03-17 22:45:57,850 | INFO | scraper | Page 3 scraped successfully with 20 books.
2026-03-17 22:45:57,853 | INFO | scraper | Requesting page 4: attempt 1
2026-03-17 22:45:58,646 | INFO | scraper | Page 4 scraped successfully with 20 books.
2026-03-17 22:45:58,648 | INFO | scraper | Requesting page 5: attempt 1
2026-03-17 22:45:58,699 | INFO | scraper | Page 4 scraped successfully with 20 books.
2026-03-17 22:45:58,701 | INFO | scraper | Requesting page 5: attempt 1
2026-03-17 22:45:59,432 | INFO | scraper | Page 5 scraped successfully with 20 books.
2026-03-17 22:45:59,434 | INFO | scraper | Requesting page 6: attempt 1
2026-03-17 22:45:59,517 | INFO | scraper | Page 5 scraped successfully with 20 books.
2026-03-17 22:45:59,519 | INFO | scraper | Requesting page 6: attempt 1
2026-03-17 22:46:00,220 | INFO | scraper | Page 6 scraped successfully with 20 books.
2026-03-17 22:46:00,224 | INFO | scraper | Requesting page 7: attempt 1
2026-03-17 22:46:00,301 | INFO | scraper | Page 6 scraped successfully with 20 books.
2026-03-17 22:46:00,307 | INFO | scraper | Requesting page 7: attempt 1
2026-03-17 22:46:01,034 | INFO | scraper | Page 7 scraped successfully with 20 books.
2026-03-17 22:46:01,036 | INFO | scraper | Requesting page 8: attempt 1
2026-03-17 22:46:01,108 | INFO | scraper | Page 7 scraped successfully with 20 books.
2026-03-17 22:46:01,110 | INFO | scraper | Requesting page 8: attempt 1
2026-03-17 22:46:01,804 | INFO | scraper | Page 8 scraped successfully with 20 books.
2026-03-17 22:46:01,807 | INFO | scraper | Requesting page 9: attempt 1
2026-03-17 22:46:01,912 | INFO | scraper | Page 8 scraped successfully with 20 books.
2026-03-17 22:46:01,914 | INFO | scraper | Requesting page 9: attempt 1
2026-03-17 22:46:02,634 | INFO | scraper | Page 9 scraped successfully with 20 books.
2026-03-17 22:46:02,635 | INFO | scraper | Requesting page 10: attempt 1
2026-03-17 22:46:02,750 | INFO | scraper | Page 9 scraped successfully with 20 books.
2026-03-17 22:46:02,752 | INFO | scraper | Requesting page 10: attempt 1
2026-03-17 22:46:03,452 | INFO | scraper | Page 10 scraped successfully with 20 books.
2026-03-17 22:46:03,454 | INFO | scraper | Requesting page 11: attempt 1
2026-03-17 22:46:03,555 | INFO | scraper | Page 10 scraped successfully with 20 books.
2026-03-17 22:46:03,557 | INFO | scraper | Requesting page 11: attempt 1
2026-03-17 22:46:04,210 | INFO | scraper | Page 11 scraped successfully with 20 books.
2026-03-17 22:46:04,212 | INFO | scraper | Requesting page 12: attempt 1
2026-03-17 22:46:04,364 | INFO | scraper | Page 11 scraped successfully with 20 books.
2026-03-17 22:46:04,366 | INFO | scraper | Requesting page 12: attempt 1
2026-03-17 22:46:04,979 | INFO | scraper | Page 12 scraped successfully with 20 books.
2026-03-17 22:46:04,980 | INFO | scraper | Requesting page 13: attempt 1
2026-03-17 22:46:05,149 | INFO | scraper | Page 12 scraped successfully with 20 books.
2026-03-17 22:46:05,150 | INFO | scraper | Requesting page 13: attempt 1
2026-03-17 22:46:05,844 | INFO | scraper | Page 13 scraped successfully with 20 books.
2026-03-17 22:46:05,846 | INFO | scraper | Requesting page 14: attempt 1
2026-03-17 22:46:05,995 | INFO | scraper | Page 13 scraped successfully with 20 books.
2026-03-17 22:46:05,998 | INFO | scraper | Requesting page 14: attempt 1
2026-03-17 22:46:06,665 | INFO | scraper | Page 14 scraped successfully with 20 books.
2026-03-17 22:46:06,666 | INFO | scraper | Requesting page 15: attempt 1
2026-03-17 22:46:06,761 | INFO | scraper | Page 14 scraped successfully with 20 books.
2026-03-17 22:46:06,763 | INFO | scraper | Requesting page 15: attempt 1
2026-03-17 22:46:07,454 | INFO | scraper | Page 15 scraped successfully with 20 books.
2026-03-17 22:46:07,456 | INFO | scraper | Requesting page 16: attempt 1
2026-03-17 22:46:07,606 | INFO | scraper | Page 15 scraped successfully with 20 books.
2026-03-17 22:46:07,608 | INFO | scraper | Requesting page 16: attempt 1
2026-03-17 22:46:08,398 | INFO | scraper | Page 16 scraped successfully with 20 books.
2026-03-17 22:46:08,400 | INFO | scraper | Requesting page 17: attempt 1
2026-03-17 22:46:08,464 | INFO | scraper | Page 16 scraped successfully with 20 books.
2026-03-17 22:46:08,466 | INFO | scraper | Requesting page 17: attempt 1
2026-03-17 22:46:09,258 | INFO | scraper | Page 17 scraped successfully with 20 books.
2026-03-17 22:46:09,261 | INFO | scraper | Requesting page 18: attempt 1
2026-03-17 22:46:09,302 | INFO | scraper | Page 17 scraped successfully with 20 books.
2026-03-17 22:46:09,304 | INFO | scraper | Requesting page 18: attempt 1
2026-03-17 22:46:10,097 | INFO | scraper | Page 18 scraped successfully with 20 books.
2026-03-17 22:46:10,103 | INFO | scraper | Requesting page 19: attempt 1
2026-03-17 22:46:10,201 | INFO | scraper | Page 18 scraped successfully with 20 books.
2026-03-17 22:46:10,207 | INFO | scraper | Requesting page 19: attempt 1
2026-03-17 22:46:10,979 | INFO | scraper | Page 19 scraped successfully with 20 books.
