customerID;Churn_Probability;Decision 
4376-KFVRS;0.04;No llamar
2754-SDJRD;0.58;No llamar
9917-KWRBE;0.06;No llamar
0365-GXEZS;0.32;No llamar
9385-NXKDA;0.03;No llamar
4686-UXDML;0.60;Ofrecer Descuento
2227-JRSJX;0.45;No llamar
4830-FAXFM;0.14;No llamar
1830-IPXVJ;0.00;No llamar
4690-LLKUA;0.33;No llamar
5804-HYIEZ;0.29;No llamar
2388-LAESQ;0.07;No llamar
5533-RJFTJ;0.16;No llamar
4706-AXVKM;0.67;Ofrecer Descuento
0997-YTLNY;0.10;No llamar
7971-HLVXI;0.06;No llamar
7337-CINUD;0.03;No llamar
1379-FRVEB;0.55;No llamar
4753-PADAS;0.23;No llamar
5701-GUXDC;0.08;No llamar
7235-NXZCP;0.77;Ofrecer Descuento
0668-OGMHD;0.24;No llamar
2812-REYAT;0.02;No llamar
8779-YIQQA;0.04;No llamar
9701-CDXHR;0.16;No llamar
7130-CTCUS;0.20;No llamar
1894-IGFSG;0.53;No llamar
0871-URUWO;0.65;Ofrecer Descuento
0057-QBUQH;0.02;No llamar
9611-CTWIH;0.84;Llamar
8058-DMYRU;0.44;No llamar
5351-QESIO;0.43;No llamar
4302-ZYFEL;0.01;No llamar
6134-KWTBV;0.01;No llamar
2034-GDRCN;0.86;Llamar
9544-PYPSJ;0.28;No llamar
4208-UFFGW;0.39;No llamar
9537-JALFH;0.00;No llamar
4415-IJZTP;0.87;Llamar
4701-MLJPN;0.17;No llamar
7515-LODFU;0.00;No llamar
4927-WWOOZ;0.88;Llamar
4067-HLYQI;0.29;No llamar
6184-DYUOB;0.23;No llamar
9209-NWPGU;0.04;No llamar
9851-KIELU;0.53;No llamar
3199-XGZCY;0.69;Ofrecer Descuento
4226-KKDON;0.34;No llamar
1085-LDWAM;0.01;No llamar
6825-UYPFK;0.36;No llamar
1767-CJKBA;0.01;No llamar
7181-BQYBV;0.90;Llamar
0178-CIIKR;0.16;No llamar
4256-ZWTZI;0.20;No llamar
9537-VHDTA;0.28;No llamar
2754-XBHTB;0.55;No llamar
5975-BAICR;0.06;No llamar
3301-VKTGC;0.07;No llamar
2877-VDUER;0.07;No llamar
7717-BICXI;0.00;No llamar
0562-FGDCR;0.01;No llamar
3705-PSNGL;0.04;No llamar
0048-LUMLS;0.18;No llamar
6497-TILVL;0.15;No llamar
2108-YKQTY;0.31;No llamar
3658-KIBGF;0.47;No llamar
5482-NUPNA;0.17;No llamar
7410-KTVFV;0.25;No llamar
9033-EOXWV;0.19;No llamar
8821-XNHVZ;0.79;Ofrecer Descuento
8224-KDLKN;0.00;No llamar
4825-FUREZ;0.01;No llamar
7534-BFESC;0.61;Ofrecer Descuento
9138-EFSMO;0.17;No llamar
4227-OJHAL;0.03;No llamar
7279-NMVJC;0.05;No llamar
8591-TKMZH;0.06;No llamar
9283-LZQOH;0.53;No llamar
3594-IVHJZ;0.23;No llamar
1945-XISKS;0.00;No llamar
4359-INNWN;0.04;No llamar
7649-SIJJF;0.02;No llamar
9254-RBFON;0.19;No llamar
0970-ETWGE;0.91;Llamar
7762-ONLJY;0.07;No llamar
6710-HSJRD;0.38;No llamar
8873-GLDMH;0.67;Ofrecer Descuento
9907-SWKKF;0.52;No llamar
4658-HCOHW;0.47;No llamar
9330-VOFSZ;0.09;No llamar
2860-RANUS;0.57;No llamar
6234-PFPXL;0.25;No llamar
7205-BAIAD;0.01;No llamar
3858-VOBET;0.55;No llamar
5103-MHMHY;0.35;No llamar
6119-SPUDB;0.02;No llamar
9389-ACWBI;0.44;No llamar
3454-JFUBC;0.01;No llamar
1768-ZAIFU;0.69;Ofrecer Descuento
7017-VFULY;0.17;No llamar
9221-OTIVJ;0.71;Ofrecer Descuento
2482-CZGBB;0.54;No llamar
7018-WBJNK;0.45;No llamar
3331-HQDTW;0.45;No llamar
4695-VADHF;0.27;No llamar
4086-WITJG;0.00;No llamar
6297-NOOPG;0.11;No llamar
8777-PVYGU;0.05;No llamar
4378-MYPGO;0.05;No llamar
9313-CDOGY;0.06;No llamar
4121-AGSIN;0.02;No llamar
0432-CAJZV;0.74;Ofrecer Descuento
9097-ZUBYC;0.16;No llamar
9638-JIQYA;0.52;No llamar
1024-GUALD;0.66;Ofrecer Descuento
8024-XNAFQ;0.04;No llamar
7587-RZNME;0.49;No llamar
1346-UFHAX;0.44;No llamar
6374-NTQLP;0.04;No llamar
6625-FLENO;0.01;No llamar
7375-WMVMT;0.05;No llamar
