#,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,repay_fail,loan_income_ratio,installment_income_ratio,int_rate_x_amount,Prob_Default,Decision,Real_Default
31804,361648,370275,25000.0,25000.0,11228.39076,36 months,17.78,901.06,10+ years,MORTGAGE,80000.0,Not Verified,nov-08,debt_consolidation,440xx,OH,12.99,1.0,jun-93,6.0,4.0,7.0,0.0,35251.0,83.50%,33.0,30772.91441,13813.61,25000.0,5772.91,jul-10,13657.57,Aug-10,Apr-16,0,0.3125,0.135159,444500.0,4.732030487172853e-05,Approve,0
18201,891512,1108252,18000.0,18000.0,18000.0,60 months,15.96,437.35,10+ years,MORTGAGE,114000.0,Verified,oct-11,debt_consolidation,967xx,HI,14.29,0.0,oct-95,2.0,,7.0,0.0,20705.0,79%,34.0,23978.29,23978.29,15856.75,8103.43,jun-16,437.35,jul-16,jun-16,0,0.15789473684210525,0.04603684210526317,287280.0,0.0248687960637834,Approve,0
10118,975797,1198131,20000.0,20000.0,20000.0,60 months,17.27,499.96,2 years,RENT,67500.0,Verified,oct-11,debt_consolidation,926xx,CA,11.84,0.0,jul-98,2.0,,21.0,0.0,19189.0,87%,36.0,21680.3189,21680.32,20000.0,1680.32,Apr-12,19181.43,,jun-16,0,0.2962962962962963,0.08888177777777777,345400.0,0.0004202473106408699,Approve,0
22538,890826,1107532,14000.0,14000.0,14000.0,36 months,6.03,426.1,4 years,RENT,40000.0,Verified,sept-11,other,337xx,FL,27.66,0.0,Dec-98,0.0,,8.0,0.0,2733.0,17%,29.0,14906.50807,14906.51,14000.0,906.51,feb-13,8517.19,,Apr-14,0,0.35,0.12783000000000003,84420.0,1.246416874576291e-05,Approve,0
32738,864744,1077981,3375.0,3375.0,3375.0,36 months,14.79,116.65,5 years,MORTGAGE,101000.0,Verified,Aug-11,home_improvement,890xx,NV,0.5,0.0,Dec-99,1.0,,3.0,0.0,1305.0,81.60%,4.0,3573.634236,3573.63,3375.0,198.63,feb-12,3108.74,,mar-16,0,0.03341584158415842,0.013859405940594061,49916.25,2.8383956818307828e-05,Approve,0
37512,728605,924296,30000.0,30000.0,29975.0,60 months,14.17,700.7,5 years,MORTGAGE,214992.0,Verified,Apr-11,debt_consolidation,601xx,IL,5.74,0.0,Jan-93,5.0,,9.0,0.0,18880.0,23.20%,28.0,16114.14,16100.78,9075.7,7038.44,may-13,33.54,,jun-16,1,0.1395400759098013,0.03911029247599911,425100.0,0.9999998499593198,Reject,1
8981,622984,798423,14400.0,14400.0,14350.0,60 months,18.17,367.0,< 1 year,RENT,110000.0,Verified,Dec-10,debt_consolidation,911xx,CA,17.16,0.0,Aug-00,4.0,,5.0,0.0,45318.0,99.40%,16.0,19089.65659,19023.37,14400.0,4689.66,Jan-13,10308.23,feb-13,nov-15,0,0.13090909090909092,0.040036363636363634,261648.00000000003,0.00018614517965982052,Approve,0
33019,649309,830701,8400.0,8400.0,8400.0,36 months,7.29,260.49,2 years,RENT,49872.0,Not Verified,Jan-11,wedding,750xx,TX,14.56,0.0,feb-97,0.0,,7.0,0.0,8200.0,33.80%,19.0,9377.585795,9377.59,8400.0,977.59,Jan-14,276.26,,Jan-14,0,0.16843118383060635,0.06267805582290664,61236.0,0.00023817785184919893,Approve,0
37406,466082,585279,5000.0,5000.0,5000.0,36 months,12.87,168.17,< 1 year,RENT,39516.0,Not Verified,Dec-09,debt_consolidation,921xx,CA,20.01,0.0,may-02,1.0,,7.0,0.0,5066.0,84.40%,20.0,6053.95848,6053.96,5000.0,1053.96,Dec-12,170.91,,Dec-12,0,0.12653102540742991,0.05106893410264197,64349.99999999999,0.00033585868138955483,Approve,0
35517,571728,735422,20000.0,20000.0,19900.0,36 months,14.84,691.75,3 years,MORTGAGE,95000.0,Verified,sept-10,wedding,951xx,CA,16.67,0.0,may-99,1.0,51.0,13.0,0.0,9069.0,37.70%,25.0,24905.21931,24780.69,20000.0,4905.22,sept-13,765.43,,Apr-16,0,0.21052631578947367,0.08737894736842106,296800.0,2.8720697838057684e-05,Approve,0
20940,1066480,1300453,10800.0,10800.0,10800.0,36 months,12.42,360.89,8 years,RENT,135000.0,Verified,Dec-11,credit_card,917xx,CA,12.12,0.0,oct-02,0.0,,14.0,0.0,18467.0,74.50%,23.0,13007.71999,13007.72,10800.0,2207.72,Jan-15,372.99,,Jan-15,0,0.08,0.032079111111111114,134136.0,0.0004247123475712821,Approve,0
34370,582908,749072,12000.0,12000.0,11589.71652,60 months,15.58,289.15,3 years,RENT,122004.0,Not Verified,sept-10,other,209xx,MD,13.15,0.0,Jan-96,0.0,26.0,11.0,0.0,50505.0,83.80%,22.0,11505.59,10714.47,6271.2,4407.74,nov-13,289.15,,Apr-14,1,0.0983574309039048,0.02844005114586407,186960.0,0.9999710615784686,Reject,1
27392,452132,557734,15000.0,15000.0,14875.0,36 months,12.18,499.5,9 years,MORTGAGE,75000.0,Not Verified,nov-09,debt_consolidation,201xx,VA,12.22,0.0,Dec-01,1.0,,9.0,0.0,15191.0,83%,26.0,17477.33098,17331.68,15000.0,2477.33,sept-11,6995.21,,jun-16,0,0.2,0.07992,182700.0,8.731917620698539e-06,Approve,0
20030,1043852,1274193,6100.0,6100.0,6100.0,60 months,13.49,140.33,3 years,RENT,42600.0,Source Verified,Dec-11,debt_consolidation,104xx,NY,27.94,0.0,Aug-04,0.0,,16.0,0.0,6446.0,47.10%,25.0,8320.460006,8320.46,6100.0,2220.46,Dec-15,1724.95,,Apr-16,0,0.1431924882629108,0.03952957746478873,82289.0,0.0046168887202536245,Approve,0
17406,528899,684017,2500.0,2500.0,2482.184419,36 months,13.61,84.98,< 1 year,RENT,27000.0,Not Verified,jun-10,home_improvement,112xx,NY,1.87,0.0,jul-05,1.0,,2.0,0.0,1291.0,75.90%,10.0,3045.036299,3019.64,2500.0,545.04,Jan-13,505.23,,jun-16,0,0.09259259259259259,0.03776888888888889,34025.0,0.00015252089121682515,Approve,0
38394,752507,929135,12000.0,12000.0,12000.0,36 months,13.43,406.82,5 years,RENT,92000.0,Source Verified,may-11,credit_card,214xx,MD,6.4,0.0,sept-01,1.0,72.0,7.0,0.0,4409.0,25.10%,19.0,13303.86025,13303.86,12000.0,1303.86,Apr-12,9247.01,,may-12,0,0.13043478260869565,0.053063478260869566,161160.0,4.000976088455642e-06,Approve,0
